"","TRANSMITTER","DETECTEDID","DATETIME","X","Y","D","LAT","LON","n","HPE","HPEm","TEMP","DEPTH","ACCEL","DRX","URX","SDx","SDy","DATETIME_formatted"
"90","Jonah35","A69-1602-17084","7/3/2019 1:44",1038.19,939.23,6.4,43.067372,-70.708605,14,2.8,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S11 S14","S01 S02 S05 S09 S11 S14",2.024732046,6.455419845,2019-07-03 01:44:00
"91","Jonah35","A69-1602-17084","7/3/2019 1:50",1040.37,938.19,6.4,43.067363,-70.708578,12,3.2,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S10 S11 S12 S13","S01 S09 S10 S11 S12 S13",4.402625536,16.52141732,2019-07-03 01:50:00
"92","Jonah35","A69-1602-17084","7/3/2019 1:52",1040.68,938.96,6.4,43.06737,-70.708575,9,3.2,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S10 S11 S13 S14","S01 S09 S10 S11 S13 S14",4.402625536,16.52141732,2019-07-03 01:52:00
"93","Jonah35","A69-1602-17084","7/3/2019 1:55",1040.14,937.32,6.4,43.067355,-70.708581,14,3,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S10 S11 S13","S01 S02 S09 S10 S11 S13",2.024732046,6.455419845,2019-07-03 01:55:00
"94","Jonah35","A69-1602-17084","7/3/2019 1:57",1041.65,937.11,6.4,43.067353,-70.708563,17,2.8,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S10 S11","S01 S02 S05 S09 S10 S11",2.024732046,6.455419845,2019-07-03 01:57:00
"95","Jonah35","A69-1602-17084","7/3/2019 2:02",1039.58,933.25,6.4,43.067318,-70.708588,7,7.5,NA,NA,NA,NA,"S01 S03 S05 S08 S09 S10 S11 S12 S13 S14","S09 S10 S11 S12 S13 S14",4.345514993,9.541941744,2019-07-03 02:02:00
"96","Jonah35","A69-1602-17084","7/3/2019 2:05",1039.87,932.97,6.4,43.067316,-70.708584,17,2.8,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S10 S11","S01 S02 S05 S09 S10 S11",2.024732046,6.455419845,2019-07-03 02:05:00
"97","Jonah35","A69-1602-17084","7/3/2019 2:08",1040.72,933.84,6.4,43.067323,-70.708574,7,3.9,NA,NA,NA,NA,"S01 S08 S09 S10 S12 S13 S14","S01 S09 S10 S12 S13 S14",4.402625536,16.52141732,2019-07-03 02:08:00
"98","Jonah35","A69-1602-17084","7/3/2019 2:10",1038.78,932.27,6.4,43.067309,-70.708598,12,3.1,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S10 S11 S12 S13","S01 S09 S10 S11 S12 S13",4.402625536,16.52141732,2019-07-03 02:10:00
"99","Jonah35","A69-1602-17084","7/3/2019 2:13",1038.41,932.2,6.4,43.067309,-70.708602,9,3.1,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S10 S11 S13 S14","S01 S09 S10 S11 S13 S14",4.402625536,16.52141732,2019-07-03 02:13:00
"100","Jonah35","A69-1602-17084","7/3/2019 2:22",1038.75,930.3,6.4,43.067292,-70.708598,13,2.9,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S10 S11 S14","S01 S02 S09 S10 S11 S14",2.024732046,6.455419845,2019-07-03 02:22:00
"101","Jonah35","A69-1602-17084","7/3/2019 2:28",1038.22,931.3,6.4,43.067301,-70.708605,9,3.1,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09 S10 S11 S13 S14","S01 S09 S10 S11 S13 S14",4.402625536,16.52141732,2019-07-03 02:28:00
