id,date,lc,lon,lat,smaj,smin,eor
PS-R254-M-18,2019-01-05T12:10:25Z,A,73.89,-52.18,412700,322,104
PS-R254-M-18,2019-01-05T12:50:41Z,B,73.83,-52.16,11126,487,100
PS-R254-M-18,2019-01-05T13:19:05Z,B,73.63,-52.16,30236,2372,90
PS-R254-M-18,2019-01-05T13:48:06Z,B,73.6,-52.1,6588,4115,29
PS-R254-M-18,2019-01-05T14:30:20Z,B,73.56,-52.11,2428,1811,39
PS-R254-M-18,2019-01-05T14:58:33Z,B,73.53,-52.11,2357,1496,80
PS-R254-M-18,2019-01-05T17:31:04Z,A,73.73,-52.14,58766,211,81
PS-R254-M-18,2019-01-05T18:27:23Z,B,73.4,-52.09,8084,3287,86
PS-R254-M-18,2019-01-05T19:07:31Z,B,73.41,-52.1,68906,4208,95
PS-R254-M-18,2019-01-05T19:23:44Z,B,73.44,-52.1,67301,3377,96
PS-R254-M-18,2019-01-05T22:39:18Z,A,73.66,-52.1,47481,43,104
PS-R254-M-18,2019-01-05T23:08:08Z,A,73.67,-52.1,2473,359,132
PS-R254-M-18,2019-01-05T23:22:52Z,B,73.69,-52.12,3688,1669,109
PS-R254-M-18,2019-01-06T00:20:07Z,B,73.65,-52.11,5533,2004,95
PS-R254-M-18,2019-01-06T03:17:40Z,A,73.46,-52.14,322216,614,97
PS-R254-M-18,2019-01-06T03:30:05Z,B,73.58,-52.11,15040,5146,81
PS-R254-M-18,2019-01-06T04:23:10Z,B,73.63,-52.12,69005,861,0
PS-R254-M-18,2019-01-06T04:29:18Z,B,73.66,-52.12,18323,2582,73
PS-R254-M-18,2019-01-06T05:05:08Z,B,73.66,-52.13,30086,5300,79
PS-R254-M-18,2019-01-06T10:01:08Z,B,73.57,-52.21,11993,675,96
PS-R254-M-18,2019-01-06T11:00:22Z,B,73.36,-52.11,69207,2095,87
PS-R254-M-18,2019-01-06T13:10:28Z,B,73.19,-52.06,31973,3777,88
PS-R254-M-18,2019-01-06T14:20:58Z,B,73.06,-52.05,45749,5423,90
PS-R254-M-18,2019-01-06T14:34:12Z,B,73.56,-52.26,81260,2653,84
PS-R254-M-18,2019-01-06T15:02:33Z,B,73.44,-52.23,68222,2849,78
PS-R254-M-18,2019-01-06T15:31:07Z,B,73.67,-52.23,9369,5561,167
PS-R254-M-18,2019-01-06T18:54:05Z,A,73.65,-52.24,29179,782,61
PS-R254-M-18,2019-01-06T23:13:52Z,B,73.59,-52.17,7324,3707,83
PS-R254-M-18,2019-01-06T23:44:59Z,A,73.85,-52.25,52072,177,83
PS-R254-M-18,2019-01-07T00:13:32Z,A,73.84,-52.25,13070,436,88
PS-R254-M-18,2019-01-07T00:28:20Z,B,73.75,-52.27,6762,1268,98
PS-R254-M-18,2019-01-07T01:25:25Z,B,73.69,-52.29,15258,4875,109
PS-R254-M-18,2019-01-07T01:26:09Z,B,73.71,-52.24,19369,1863,72
PS-R254-M-18,2019-01-07T04:14:08Z,B,73.67,-52.2,26869,377,97
PS-R254-M-18,2019-01-07T04:42:17Z,B,73.66,-52.2,16879,3970,78
PS-R254-M-18,2019-01-07T06:23:51Z,B,73.66,-52.19,6918,741,107
PS-R254-M-18,2019-01-07T11:11:04Z,B,73.57,-52.16,6484,744,130
PS-R254-M-18,2019-01-07T12:25:29Z,B,73.55,-52.13,12016,101,79
PS-R254-M-18,2019-01-07T12:39:20Z,B,73.55,-52.12,5557,268,80
PS-R254-M-18,2019-01-07T14:05:21Z,B,73.44,-52.15,8253,550,100
PS-R254-M-18,2019-01-07T14:19:46Z,B,73.44,-52.15,8603,1039,98
PS-R254-M-18,2019-01-07T14:51:06Z,B,73.41,-52.14,9091,1523,98
PS-R254-M-18,2019-01-07T15:05:39Z,B,73.44,-52.2,19565,1991,96
PS-R254-M-18,2019-01-07T15:49:14Z,B,73.54,-52.21,11200,933,62
PS-R254-M-18,2019-01-07T16:18:20Z,A,73.54,-52.2,5477,220,112
PS-R254-M-18,2019-01-07T16:31:56Z,B,73.53,-52.19,10246,1947,102
PS-R254-M-18,2019-01-07T16:45:55Z,A,73.51,-52.26,38624,3894,88
PS-R254-M-18,2019-01-07T19:43:26Z,B,73.55,-52.25,44834,16201,86
PS-R254-M-18,2019-01-07T20:35:19Z,0,73.51,-52.27,24345,969,128
PS-R254-M-18,2019-01-08T00:00:00Z,B,73.48,-52.26,5786,2977,93
PS-R254-M-18,2019-01-08T00:00:00Z,B,73.51,-52.27,11750,3049,92
PS-R254-M-18,2019-01-08T00:44:18Z,B,73.51,-52.27,10238,2150,109
PS-R254-M-18,2019-01-08T00:45:38Z,B,73.49,-52.26,3990,1019,112
PS-R254-M-18,2019-01-08T00:59:19Z,B,73.55,-52.3,2337,1687,59
PS-R254-M-18,2019-01-08T01:45:09Z,B,73.57,-52.35,18724,8731,79
PS-R254-M-18,2019-01-08T02:25:28Z,A,73.41,-52.27,32079,7792,39
PS-R254-M-18,2019-01-08T02:26:09Z,B,73.48,-52.26,6780,892,46
PS-R254-M-18,2019-01-08T02:40:09Z,B,73.49,-52.25,4075,1389,55
PS-R254-M-18,2019-01-08T10:36:15Z,B,73.49,-52.18,13435,508,63
PS-R254-M-18,2019-01-08T10:36:15Z,B,73.61,-52.11,11452,1353,76
PS-R254-M-18,2019-01-08T12:03:45Z,B,73.64,-52.18,32156,4919,81
PS-R254-M-18,2019-01-08T12:19:15Z,0,73.55,-52.04,38216,872,71
PS-R254-M-18,2019-01-08T12:19:16Z,B,73.37,-52.11,13631,900,76
PS-R254-M-18,2019-01-08T15:30:14Z,A,73.37,-52.18,101462,481,79
PS-R254-M-18,2019-01-08T15:30:55Z,B,73.37,-52.06,13230,5265,83
PS-R254-M-18,2019-01-08T16:01:12Z,B,73.42,-52.16,16198,1532,78
PS-R254-M-18,2019-01-08T16:15:33Z,B,73.42,-52.18,67896,736,78
PS-R254-M-18,2019-01-08T16:29:38Z,B,73.64,-52.15,8114,393,54
PS-R254-M-18,2019-01-08T17:42:57Z,B,73.64,-52.21,3854,1470,80
PS-R254-M-18,2019-01-08T17:56:53Z,B,73.63,-52.2,6043,1874,79
PS-R254-M-18,2019-01-08T20:28:01Z,B,73.64,-52.28,5978,387,90
PS-R254-M-18,2019-01-08T22:05:26Z,B,73.7,-52.31,3646,256,146
PS-R254-M-18,2019-01-09T01:17:20Z,B,73.73,-52.39,3297,1748,114
PS-R254-M-18,2019-01-09T02:01:13Z,B,73.71,-52.35,34231,60,76
PS-R254-M-18,2019-01-09T02:01:13Z,B,73.74,-52.34,178158,380,76
PS-R254-M-18,2019-01-09T02:16:54Z,A,73.81,-52.32,1012,175,129
PS-R254-M-18,2019-01-09T03:34:48Z,B,73.82,-52.36,1913,568,69
PS-R254-M-18,2019-01-09T03:50:19Z,B,73.82,-52.34,2286,818,56
PS-R254-M-18,2019-01-09T11:41:46Z,0,73.5,-52.14,109124,461,104
PS-R254-M-18,2019-01-09T11:58:43Z,B,73.5,-52.14,18355,2526,100
