id,date,lc,lon,lat,smaj,smin,eor
F02-B-17,2017-10-07T21:35:14.896817Z,G,66.9816297458807,-46.8987645852748,,,
F02-B-17,2017-10-07T21:36:20.621174Z,G,66.9808653038536,-46.898966821179,,,
F02-B-17,2017-10-07T21:51:28.090381Z,G,66.9678882015705,-46.8922866485567,,,
F02-B-17,2017-10-07T21:51:30.527071Z,G,66.9678881695537,-46.8923467536405,,,
F02-B-17,2017-10-07T22:09:09.517696Z,G,66.9527522816664,-46.8857533474904,,,
F02-B-17,2017-10-07T22:09:10.636539Z,G,66.9529638200098,-46.8856878663761,,,
F02-B-17,2017-10-07T22:26:10.633783Z,G,66.9377968650347,-46.8784498318823,,,
F02-B-17,2017-10-07T22:26:11.756257Z,G,66.9377821183661,-46.8784336272149,,,
F02-B-17,2017-10-07T22:42:37.778861Z,G,66.9195850213621,-46.8711525554042,,,
F02-B-17,2017-10-07T22:42:41.648011Z,G,66.9199400260749,-46.8714155074886,,,
F02-B-17,2017-10-07T22:43:52.050496Z,G,66.9197955766617,-46.8714987999964,,,
F02-B-17,2017-10-07T22:43:53.131721Z,G,66.9196614609836,-46.8713350146715,,,
F02-B-17,2017-10-07T23:03:32.000412Z,G,66.8981409156014,-46.868074781086,,,
F02-B-17,2017-10-07T23:03:33.156150Z,G,66.8985094733113,-46.8683426750485,,,
F02-B-17,2017-10-07T23:04:35.542937Z,G,66.8980095640511,-46.8684666327224,,,
F02-B-17,2017-10-07T23:04:43.233892Z,G,66.8981927238227,-46.8685263421559,,,
F02-B-17,2017-10-07T23:22:44.117328Z,G,66.880798850862,-46.861820681963,,,
F02-B-17,2017-10-07T23:22:47.528112Z,G,66.8807582242736,-46.8620177117036,,,
F02-B-17,2017-10-07T23:23:49.169479Z,G,66.8806961105381,-46.861795149747,,,
F02-B-17,2017-10-07T23:23:50.274110Z,G,66.8806665072989,-46.86178009171,,,
F02-B-17,2017-10-07T23:45:02.379532Z,G,66.8583293001976,-46.857152179981,,,
F02-B-17,2017-10-07T23:45:06.717941Z,G,66.8581290666437,-46.8570248084496,,,
